gene	expressed
B3GNT6	TRUE
CAPN5	TRUE
MYO7A	TRUE
PAK1	TRUE
AQP11	TRUE
CLNS1A	TRUE
RSF1	TRUE
AAMDC	TRUE
INTS4	TRUE
NDUFC2-KCTD14	TRUE
NDUFC2	TRUE
ALG8	TRUE
KCTD21-AS1	TRUE
KCTD21	TRUE
USP35	TRUE
GAB2	TRUE
LOC101928865	TRUE
LOC101928896	TRUE
NARS2	TRUE
FAM181B	TRUE
PRCP	TRUE
DDIAS	TRUE
RAB30	TRUE
RAB30-AS1	TRUE
PCF11	TRUE
PCF11-AS1	TRUE
ANKRD42	TRUE
CCDC90B	TRUE
TMEM126B	TRUE
TMEM126A	TRUE
CREBZF	TRUE
CCDC89	TRUE
CCDC83	TRUE
PICALM	TRUE
EED	TRUE
HIKESHI	TRUE
FZD4	TRUE
LOC100506368	TRUE
TMEM135	TRUE
RAB38	TRUE
CTSC	TRUE
NAALAD2	TRUE
CHORDC1	TRUE
DISC1FP1	TRUE
SLC36A4	TRUE
DEUP1	TRUE
SMCO4	TRUE
CEP295	TRUE
TAF1D	TRUE
C11orf54	TRUE
MED17	TRUE
HEPHL1	TRUE
PANX1	TRUE
MRE11	TRUE
ANKRD49	TRUE
C11orf97	TRUE
FUT4	TRUE
PIWIL4	TRUE
LOC105369438	TRUE
AMOTL1	TRUE
CWC15	TRUE
KDM4D	TRUE
SRSF8	TRUE
ENDOD1	TRUE
LOC100129203	TRUE
SESN3	TRUE
FAM76B	TRUE
CEP57	TRUE
MTMR2	TRUE
MAML2	TRUE
CCDC82	TRUE
JRKL	TRUE
JRKL-AS1	TRUE
LOC105369443	TRUE
CNTN5	TRUE
ARHGAP42	TRUE
LOC100128386	TRUE
PGR	TRUE
PGR-AS1	TRUE
BIRC3	TRUE
BIRC2	TRUE
LOC101928424	TRUE
TMEM123	TRUE
DCUN1D5	TRUE
DYNC2H1	TRUE
MSANTD4	TRUE
AASDHPPT	TRUE
KBTBD3	TRUE
CWF19L2	TRUE
ALKBH8	TRUE
SLC35F2	TRUE
CUL5	TRUE
ACAT1	TRUE
NPAT	TRUE
ATM	TRUE
C11orf65	TRUE
KDELC2	TRUE
EXPH5	TRUE
DDX10	TRUE
ZC3H12C	TRUE
RDX	TRUE
FDX1	TRUE
BTG4	TRUE
SIK2	TRUE
PPP2R1B	TRUE
ALG9	TRUE
C11orf1	TRUE
FDXACB1	TRUE
HSPB2	TRUE
HSPB2-C11orf52	TRUE
CRYAB	TRUE
C11orf52	TRUE
DLAT	TRUE
PIH1D2	TRUE
C11orf57	TRUE
TIMM8B	TRUE
SDHD	TRUE
IL18	TRUE
PTS	TRUE
LOC283140	TRUE
TTC12	TRUE
ANKK1	TRUE
ZW10	TRUE
USP28	TRUE
NNMT	TRUE
RBM7	TRUE
C11orf71	TRUE
REXO2	TRUE
BUD13	TRUE
ZPR1	TRUE
APOA1-AS	TRUE
SIK3	TRUE
PAFAH1B2	TRUE
SIDT2	TRUE
LOC100652768	TRUE
PCSK7	TRUE
RNF214	TRUE
CEP164	TRUE
IL10RA	TRUE
TMPRSS4	TRUE
MPZL3	TRUE
MPZL2	TRUE
CD3E	TRUE
CD3D	TRUE
CD3G	TRUE
UBE4A	TRUE
ATP5L	TRUE
KMT2A	TRUE
TTC36	TRUE
LOC101929089	TRUE
TMEM25	TRUE
IFT46	TRUE
ARCN1	TRUE
PHLDB1	TRUE
TREH	TRUE
DDX6	TRUE
CXCR5	TRUE
BCL9L	TRUE
CCDC84	TRUE
RPS25	TRUE
TRAPPC4	TRUE
SLC37A4	TRUE
HYOU1	TRUE
VPS11	TRUE
HMBS	TRUE
H2AFX	TRUE
DPAGT1	TRUE
C2CD2L	TRUE
HINFP	TRUE
ABCG4	TRUE
NLRX1	TRUE
CBL	TRUE
MCAM	TRUE
RNF26	TRUE
USP2	TRUE
USP2-AS1	TRUE
THY1	TRUE
LOC102724301	TRUE
OAF	TRUE
TMEM136	TRUE
ARHGEF12	TRUE
TBCEL	TRUE
SC5D	TRUE
HSPA8	TRUE
ZNF202	TRUE
OR10S1	TRUE
VWA5A	TRUE
OR8G2P	TRUE
OR8G1	TRUE
OR8B2	TRUE
OR8B8	TRUE
TBRG1	TRUE
SPA17	TRUE
SIAE	TRUE
VSIG2	TRUE
ESAM	TRUE
MSANTD2	TRUE
LOC100507283	TRUE
CCDC15	TRUE
TMEM218	TRUE
LOC403312	TRUE
FEZ1	TRUE
EI24	TRUE
STT3A-AS1	TRUE
STT3A	TRUE
CHEK1	TRUE
PUS3	TRUE
CDON	TRUE
RPUSD4	TRUE
FAM118B	TRUE
SRPRA	TRUE
FOXRED1	TRUE
TIRAP	TRUE
DCPS	TRUE
GSEC	TRUE
ST3GAL4	TRUE
ETS1	TRUE
C11orf45	TRUE
NFRKB	TRUE
LINC00167	TRUE
PRDM10	TRUE
APLP2	TRUE
ZBTB44	TRUE
LOC100507431	TRUE
SNX19	TRUE
JAM3	TRUE
NCAPD3	TRUE
VPS26B	TRUE
THYN1	TRUE
ACAD8	TRUE
GLB1L3	TRUE
GLB1L2	TRUE
PLPP2	TRUE
MIER2	TRUE
ODF3L2	TRUE
TPGS1	TRUE
CDC34	TRUE
GZMM	TRUE
BSG	TRUE
HCN2	TRUE
POLRMT	TRUE
FGF22	TRUE
RNF126	TRUE
PRSS57	TRUE
PALM	TRUE
MISP	TRUE
PTBP1	TRUE
PLPPR3	TRUE
AZU1	TRUE
CFD	TRUE
MED16	TRUE
R3HDM4	TRUE
KISS1R	TRUE
ARID3A	TRUE
WDR18	TRUE
GRIN3B	TRUE
TMEM259	TRUE
CNN2	TRUE
ABCA7	TRUE
ARHGAP45	TRUE
POLR2E	TRUE
GPX4	TRUE
SBNO2	TRUE
STK11	TRUE
CBARP	TRUE
ATP5D	TRUE
MIDN	TRUE
CIRBP	TRUE
CIRBP-AS1	TRUE
C19orf24	TRUE
MUM1	TRUE
NDUFS7	TRUE
GAMT	TRUE
DAZAP1	TRUE
RPS15	TRUE
C19orf25	TRUE
PCSK4	TRUE
REEP6	TRUE
ADAMTSL5	TRUE
PLK5	TRUE
MEX3D	TRUE
MBD3	TRUE
UQCR11	TRUE
TCF3	TRUE
ATP8B3	TRUE
REXO1	TRUE
KLF16	TRUE
ABHD17A	TRUE
ADAT3	TRUE
SCAMP4	TRUE
CSNK1G2	TRUE
BTBD2	TRUE
MKNK2	TRUE
MOB3A	TRUE
IZUMO4	TRUE
AP3D1	TRUE
DOT1L	TRUE
PLEKHJ1	TRUE
SF3A2	TRUE
OAZ1	TRUE
C19orf35	TRUE
LSM7	TRUE
SPPL2B	TRUE
TIMM13	TRUE
LMNB2	TRUE
LINC01775	TRUE
GADD45B	TRUE
GNG7	TRUE
DIRAS1	TRUE
SLC39A3	TRUE
SGTA	TRUE
THOP1	TRUE
ZNF554	TRUE
ZNF555	TRUE
ZNF57	TRUE
ZNF77	TRUE
TLE6	TRUE
TLE2	TRUE
AES	TRUE
GNA11	TRUE
LOC100996351	TRUE
S1PR4	TRUE
NCLN	TRUE
NFIC	TRUE
SMIM24	TRUE
DOHH	TRUE
FZR1	TRUE
C19orf71	TRUE
MFSD12	TRUE
HMG20B	TRUE
GIPC3	TRUE
TBXA2R	TRUE
CACTIN-AS1	TRUE
CACTIN	TRUE
PIP5K1C	TRUE
APBA3	TRUE
MRPL54	TRUE
RAX2	TRUE
MATK	TRUE
NMRK2	TRUE
DAPK3	TRUE
EEF2	TRUE
PIAS4	TRUE
ZBTB7A	TRUE
MAP2K2	TRUE
CREB3L3	TRUE
SIRT6	TRUE
ANKRD24	TRUE
CCDC94	TRUE
FSD1	TRUE
STAP2	TRUE
MPND	TRUE
SH3GL1	TRUE
CHAF1A	TRUE
UBXN6	TRUE
HDGFRP2	TRUE
PLIN5	TRUE
LRG1	TRUE
TNFAIP8L1	TRUE
MYDGF	TRUE
DPP9-AS1	TRUE
DPP9	TRUE
FEM1A	TRUE
TICAM1	TRUE
PLIN3	TRUE
UHRF1	TRUE
KDM4B	TRUE
PTPRS	TRUE
SAFB2	TRUE
SAFB	TRUE
HSD11B1L	TRUE
C19orf70	TRUE
RPL36	TRUE
LONP1	TRUE
CATSPERD	TRUE
PRR22	TRUE
DUS3L	TRUE
FUT3	TRUE
NDUFA11	TRUE
VMAC	TRUE
CAPS	TRUE
RANBP3	TRUE
LOC100128568	TRUE
RFX2	TRUE
MLLT1	TRUE
CLPP	TRUE
ALKBH7	TRUE
GTF2F1	TRUE
KHSRP	TRUE
SLC25A23	TRUE
CRB3	TRUE
DENND1C	TRUE
TUBB4A	TRUE
TNFSF9	TRUE
TNFSF14	TRUE
C3	TRUE
GPR108	TRUE
TRIP10	TRUE
SH2D3A	TRUE
VAV1	TRUE
FLJ25758	TRUE
ZNF557	TRUE
INSR	TRUE
ARHGEF18	TRUE
PEX11G	TRUE
C19orf45	TRUE
ZNF358	TRUE
MCOLN1	TRUE
PNPLA6	TRUE
XAB2	TRUE
PET100	TRUE
STXBP2	TRUE
MCEMP1	TRUE
TRAPPC5	TRUE
FCER2	TRUE
EVI5L	TRUE
PRR36	TRUE
LRRC8E	TRUE
MAP2K7	TRUE
TGFBR3L	TRUE
SNAPC2	TRUE
CTXN1	TRUE
TIMM44	TRUE
ELAVL1	TRUE
CCL25	TRUE
CERS4	TRUE
CD320	TRUE
NDUFA7	TRUE
RPS28	TRUE
KANK3	TRUE
ANGPTL4	TRUE
RAB11B	TRUE
RAB11B-AS1	TRUE
MARCH2	TRUE
HNRNPM	TRUE
PRAM1	TRUE
ZNF414	TRUE
MYO1F	TRUE
ADAMTS10	TRUE
ZNF558	TRUE
OR7G1	TRUE
ZNF317	TRUE
ZNF699	TRUE
ZNF559	TRUE
ZNF559-ZNF177	TRUE
ZNF177	TRUE
ZNF266	TRUE
ZNF426	TRUE
LOC101928238	TRUE
ZNF121	TRUE
ZNF561	TRUE
ZNF561-AS1	TRUE
ZNF562	TRUE
ZNF846	TRUE
FBXL12	TRUE
UBL5	TRUE
PIN1	TRUE
OLFM2	TRUE
C19orf66	TRUE
ANGPTL6	TRUE
PPAN	TRUE
PPAN-P2RY11	TRUE
P2RY11	TRUE
EIF3G	TRUE
DNMT1	TRUE
S1PR2	TRUE
MRPL4	TRUE
ICAM1	TRUE
ICAM4	TRUE
ICAM5	TRUE
FDX1L	TRUE
RAVER1	TRUE
ICAM3	TRUE
TYK2	TRUE
CDC37	TRUE
KEAP1	TRUE
ATG4D	TRUE
KRI1	TRUE
CDKN2D	TRUE
ILF3-AS1	TRUE
ILF3	TRUE
QTRT1	TRUE
DNM2	TRUE
TMED1	TRUE
CARM1	TRUE
YIPF2	TRUE
TIMM29	TRUE
LDLR	TRUE
SPC24	TRUE
KANK2	TRUE
LOC105372273	TRUE
ANGPTL8	TRUE
DOCK6	TRUE
TSPAN16	TRUE
RAB3D	TRUE
TMEM205	TRUE
CCDC159	TRUE
PLPPR2	TRUE
SWSAP1	TRUE
EPOR	TRUE
CCDC151	TRUE
PRKCSH	TRUE
ZNF653	TRUE
ECSIT	TRUE
CNN1	TRUE
ELOF1	TRUE
ACP5	TRUE
ZNF627	TRUE
ZNF823	TRUE
ZNF441	TRUE
ZNF491	TRUE
ZNF440	TRUE
ZNF439	TRUE
ZNF69	TRUE
ZNF700	TRUE
LOC101928464	TRUE
ZNF433	TRUE
ZNF878	TRUE
ZNF844	TRUE
ZNF788	TRUE
ZNF20	TRUE
ZNF136	TRUE
LOC100289333	TRUE
ZNF44	TRUE
ZNF563	TRUE
ZNF442	TRUE
ZNF799	TRUE
ZNF443	TRUE
ZNF709	TRUE
ZNF564	TRUE
ZNF490	TRUE
ZNF791	TRUE
MAN2B1	TRUE
WDR83	TRUE
WDR83OS	TRUE
DHPS	TRUE
FBXW9	TRUE
TNPO2	TRUE
TRIR	TRUE
ASNA1	TRUE
HOOK2	TRUE
